,Account_date,sales_qty,median_1_week,up_1_week,low_1_week,slope_var_1_week,var_1_week,slope_sum_1_week,sum_1_week,mean_1_week,slope_1_week,skew_1_week,kurt_1_week,cv_1_week,median_2_week,up_2_week,low_2_week,slope_var_2_week,var_2_week,slope_sum_2_week,sum_2_week,mean_2_week,slope_2_week,skew_2_week,kurt_2_week,cv_2_week,median_3_week,up_3_week,low_3_week,slope_var_3_week,var_3_week,slope_sum_3_week,sum_3_week,mean_3_week,slope_3_week,skew_3_week,kurt_3_week,cv_3_week,median_4_week,up_4_week,low_4_week,slope_var_4_week,var_4_week,slope_sum_4_week,sum_4_week,mean_4_week,slope_4_week,skew_4_week,kurt_4_week,cv_4_week,back_1day,back_3day,back_7day
0,2020-02-20,96.05000000000001,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,,,
1,2020-02-21,864.2999999999993,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,713.6623999999989,,
2,2020-02-22,1571.6775000000002,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,-660.9974999999989,,
3,2020-02-23,1132.3619999999996,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,618.4324999999997,671.0973999999997,
4,2020-02-24,800.0964999999994,410.9686000000004,929.0914999999995,226.63565000000008,24743.477273564782,321841.6379516223,407.42510000000027,4310.3604000000005,615.7657714285715,35.8813709183674,,,0.912559599542433,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,-319.1160999999995,-361.68109999999876,
5,2020-02-25,790.707499999999,410.9686000000004,929.0914999999995,226.63565000000008,24743.477273564782,321841.6379516223,407.42510000000027,4310.3604000000005,615.7657714285715,35.8813709183674,,,0.912559599542433,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,-340.96130000000016,-41.64489999999999,
6,2020-02-26,704.9991999999992,410.9686000000004,929.0914999999995,226.63565000000008,24743.477273564782,321841.6379516223,407.42510000000027,4310.3604000000005,615.7657714285715,35.8813709183674,,,0.912559599542433,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,1116.1019999999996,456.02459999999996,
7,2020-02-27,676.3373999999997,410.9686000000004,929.0914999999995,226.63565000000008,24743.477273564782,321841.6379516223,407.42510000000027,4310.3604000000005,615.7657714285715,35.8813709183674,-4.186328764823662e-09,6.747006196824513e-12,0.912559599542433,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,439.3155000000006,1214.4562,1566.4375000000002
8,2020-02-28,725.8209999999996,410.9686000000004,929.0914999999995,226.63565000000008,24743.477273564782,321841.6379516223,407.42510000000027,4310.3604000000005,615.7657714285715,35.8813709183674,4.660530471134603e-10,3.613381380917986e-13,0.912559599542433,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,-845.8565000000007,709.5609999999996,6.918600000000652
9,2020-02-29,718.9023999999989,410.9686000000004,929.0914999999995,226.63565000000008,24743.477273564782,321841.6379516223,407.42510000000027,4310.3604000000005,615.7657714285715,35.8813709183674,2.6282132849791147e-08,7.814133170144991e-11,0.912559599542433,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,367.12114999999983,686.9786499999994,44.738675,24743.477273564782,148637.29703666884,407.42510000000027,1458.3846999999987,364.5961749999997,35.8813709183674,,,1.0402019850354802,-629.7709999999995,-1036.3119999999997,38.14510000000001
