,Sku_code,Sku_name,Stock,ORDER_SUM,Inventory,stockout,Suggestion_qty,Stock_new
0,65550,樱桃小番茄,,,,,70,
1,07540,优选泰国桂圆,332.0,177.0,155.0,0.0,96,251.0
2,07310,金火龙果,647.0,363.0,284.0,0.0,608,892.0
3,11620,带叶鲜橙（小）,235.0,135.0,100.0,0.0,138,238.0
4,11600,满山红富士（大）,,,,,78,
5,16010,春蕉,1147.0,1028.0,119.0,0.0,1138,1257.0
6,16040,进口蕉,694.0,597.0,97.0,0.0,558,655.0
7,07350,泰国椰青,386.0,187.0,199.0,0.0,217,416.0
8,13160,南水梨,151.0,85.0,66.0,0.0,40,106.0
9,06390,金边香芒,253.0,177.0,76.0,0.0,217,293.0
10,05200,沙洲绿宝瓜,1690.0,887.0,803.0,0.0,761,1564.0
11,01310,克伦森无籽红提,334.0,255.0,79.0,0.0,397,476.0
12,08890,金香露蜜桔,,,,,34,
13,05020,鲜丰玉麒麟,579.0,257.0,322.0,0.0,280,602.0
14,07640,智利车厘子J,,,,,506,
15,06850,百香果（盒）,19.0,23.0,-4.0,-4.0,27,23.0
16,65770,冰糖橙,96.0,32.0,64.0,0.0,26,90.0
17,07600,菲律宾凤梨,192.0,102.0,90.0,0.0,92,182.0
18,12190,龙珠果,36.0,12.0,24.0,0.0,5,29.0
19,01270,冰糖木瓜,17.0,4.0,13.0,0.0,0,13.0
20,07340,火参果,10.0,6.0,4.0,0.0,4,8.0
21,07300,蜜宝红心火龙果,88.0,55.0,33.0,0.0,53,86.0
22,11650,优选香梨,116.0,92.0,24.0,0.0,94,118.0
23,07950,金尧榴莲,,,,,406,
24,11710,甄选蓝莓,127.0,76.0,51.0,0.0,75,126.0
25,12130,原种红玉木瓜,108.0,35.0,73.0,0.0,12,85.0
26,07220,台湾释迦,34.0,23.0,11.0,0.0,16,27.0
27,12240,珍珠牛奶枣,191.0,133.0,58.0,0.0,130,188.0
