,Sku_code,Sku_name,Stock,ORDER_SUM,Inventory,stockout
0,65550,樱桃小番茄,,,,
1,07540,优选泰国桂圆,251.0,192.0,59.0,0.0
2,07310,金火龙果,425.0,465.0,-40.0,-40.0
3,11620,带叶鲜橙（小）,230.0,199.0,31.0,0.0
4,11600,满山红富士（大）,,,,
5,16010,春蕉,640.0,924.0,-284.0,-284.0
6,16040,进口蕉,672.0,485.0,187.0,0.0
7,07350,泰国椰青,138.0,199.0,-61.0,-61.0
8,13160,南水梨,146.0,141.0,5.0,0.0
9,06390,金边香芒,240.0,224.0,16.0,0.0
10,05200,沙洲绿宝瓜,1035.0,990.0,45.0,0.0
11,01310,克伦森无籽红提,440.0,272.0,168.0,0.0
12,08890,金香露蜜桔,,,,
13,05020,鲜丰玉麒麟,272.0,323.0,-51.0,-51.0
14,07640,智利车厘子J,,,,
15,06850,百香果（盒）,26.0,32.0,-6.0,-6.0
16,65770,冰糖橙,69.0,45.0,24.0,0.0
17,07600,菲律宾凤梨,175.0,147.0,28.0,0.0
18,12190,龙珠果,20.0,19.0,1.0,0.0
19,01270,冰糖木瓜,14.0,7.0,7.0,0.0
20,07340,火参果,6.0,4.0,2.0,0.0
21,07300,蜜宝红心火龙果,62.0,73.0,-11.0,-11.0
22,11650,优选香梨,89.0,86.0,3.0,0.0
23,07950,金尧榴莲,81.0,,,
24,11710,甄选蓝莓,95.0,110.0,-15.0,-15.0
25,12130,原种红玉木瓜,111.0,58.0,53.0,0.0
26,07220,台湾释迦,20.0,51.0,-31.0,-31.0
27,12240,珍珠牛奶枣,190.0,148.0,42.0,0.0
